120.880;+12.942;004.748;+75.684;      46;00 16 06;+75 24 25;P;    1.7;    2.3;  1.3;    5.3; 3-11
121.595;+17.874;004.991;+80.664;      47;00 16 52;+80 23 13;P;    6.1;    7.6;  1.4;   29.6; 4-11
121.113;+14.119;005.067;+76.881;      48;00 17 19;+76 36 13;P;    1.2;    2.6;  2.2;    5.6; 4-11
120.901;+12.430;005.085;+75.179;      49;00 17 26;+74 54 06;P;    2.5;    3.0;  1.2;    8.1; 3-11
120.561; +9.681;005.104;+72.410;      50;00 17 34;+72 07 57;P;    3.5;    4.7;  1.4;    6.9; 3-11
120.384; +8.246;005.107;+70.965;      51;00 17 36;+70 41 14;P;    2.7;    3.0;  1.1;    5.8; 3-11
121.114;+13.789;005.247;+76.553;      52;00 18 02;+76 16 32;P;    2.0;    2.1;  1.0;    7.0; 4-11
120.855;+11.701;005.254;+74.450;      53;00 18 07;+74 10 20;P;    2.8;    3.0;  1.1;    7.3; 3-11
119.969; +3.936;005.389;+66.636;      54;00 18 46;+66 21 31;P;    6.3;    7.6;  1.4;   13.3; 2-11
121.933;+18.948;006.245;+81.769;      55;00 21 39;+81 29 30;P;    1.9;    2.3;  1.2;   11.1; 4-11
120.098; +1.418;006.350;+64.146;      56;00 22 36;+63 52 10;P;  180.6;  408.7;  2.2;   47.1; 2-11
122.652;+24.665;006.970;+87.524;      57;00 22 38;+87 14 50;P;    2.4;    2.6;  1.1;   11.3; 5-11
121.168;+10.921;006.673;+73.708;      58;00 23 43;+73 25 52;P;    1.8;    2.2;  1.2;    5.4; 3-11
121.447;+13.097;006.911;+75.900;      59;00 24 35;+75 37 24;P;    1.5;    1.8;  1.2;    5.1; 3-11
120.598; +3.844;006.985;+66.610;      60;00 25 05;+66 19 59;P;    4.1;    4.0;  0.9;    8.8; 2-11
121.904;+17.156;007.204;+79.982;      61;00 25 31;+79 42 21;P;    3.7;    4.8;  1.4;   17.7; 4-11
122.428;+21.976;007.668;+84.828;      62;00 26 37;+84 33 05;P;    8.0;    8.9;  1.1;   42.7; 5-11
120.273; -1.744;007.368;+61.015;      63;00 26 40;+60 44 18;P;   10.6;   10.6;  1.0;   14.3; 1-12
120.555; +1.207;007.436;+63.979;      64;00 26 54;+63 42 10;P;   38.4;   36.6;  0.9;   17.0; 2-11
121.155; +7.841;007.543;+70.639;      65;00 27 13;+70 21 47;P;    3.2;    3.2;  1.0;    6.5; 3-11
120.262; -3.698;007.670;+59.066;      66;00 27 53;+58 47 24;P;    5.6;    5.1;  0.9;    5.8; 1-12
120.316; -3.273;007.709;+59.494;      67;00 28 02;+59 13 06;P;    6.6;    7.7;  1.1;    7.2; 1-12
122.926;+26.620;012.235;+89.492;      68;00 29 32;+89 13 02;P;    4.2;    7.1;  2.0;   18.9; 5-11
120.979; +2.874;008.119;+65.674;      69;00 29 35;+65 23 53;P;    3.4;    3.8;  1.2;    6.4; 2-11
