017.570;+31.666;      34; 34; ; ;*;A;   ;01 07 31.0; 2;  ;+31 24.0; 4;);   12.5; ;  2.5; ; ;    ;    ;    ;
017.940;+47.349;      35; 35; ; ; ;B; ->;01 08 50.0; 3;  ;+47 05.0; 6; ;    9.0; ;  2.5; ; ;    ;    ;    ;
019.542;+45.646;      36; 36; ; ; ;A; ->;01 15 14.0; 5;  ;+45 23.0; 6;);    8.0; ;  1.5;); ;    ;    ;    ;
019.481; -0.604;      37; 37; ; ; ;A;   ;01 15 22.0; 4; ^;-00 52.0; 5; ;   12.0; ;  2.5;); ;    ;    ;    ;MSH 01+03?
020.139;-15.655;      38; 38; ; ; ; ;   ;01 18 06.0;12;  ;-15 55.0;12; ;   22.0; ;  4.0; ; ; 3.0; 1.0;    ;2C 107<-, MSH 01-19
020.647; +3.911;      39; 39; ; ; ;A;   ;01 20 00.0; 4;  ;+03 39.0;15; ;    9.5; ;  3.0; ; ;    ;    ;    ;MSH 01+03?
021.534; -1.274;      40; 40; ; ; ;A; <-;01 23 35.0; 2; v;-01 32.0; 9;);   26.0; ;  5.0; ; ;    ;    ;    ;2C 122->?MSH 01-05: poss. extd.
021.681;+33.093;      41; 41; ; ; ;B;   ;01 23 54.0; 5;  ;+32 50.0; 6;);    8.5; ;  2.0; ; ;    ;    ;    ;2C 119
021.918;+29.059;      42; 42; ; ; ;B;   ;01 24 53.0; 7;  ;+28 48.0; 4;);   12.0; ;  2.0;); ;    ;    ;    ;
022.494;+23.558;      43; 43; ; ;*;A;   ;01 27 14.0; 5;  ;+23 18.0; 9; ;   16.5; ;  2.5;); ;    ;    ;    ;2C 124 ^
022.614; +3.491;      44; 44; ; ; ;A;   ;01 27 52.0; 3;  ;+03 14.0;10;);    8.0; ;  2.5; ; ;    ;    ;    ;MSH 01+06?
024.011; +8.488;      45; 45; ; ; ;B;   ;01 33 25.0; 7;  ;+08 14.0;10; ;    9.0; ;  1.5; ; ;    ;    ;    ;MSH 01+08
024.124;+37.938;      46; 46; ; ; ;B;   ;01 33 35.0; 5;  ;+37 41.0; 6; ;   12.5; ;  3.0; ; ;    ;    ;    ;DWD
024.108;+20.955;      47; 47; ; ;*;A;   ;01 33 42.0; 5;  ;+20 42.0; 3; ;   27.0; ;  5.0; ;<; 4.0;    ;    ;DWD
024.427;+33.171;      48; 48; ; ;*;A;   ;01 34 51.0; 5;  ;+32 55.0; 4; ;   50.0; ; 11.0; ;<; 3.0;    ;    ;2C 133 ^
025.303;+14.052;      49; 49; ; ; ;A;   ;01 38 32.0; 5;  ;+13 48.0; 7;);   10.0; ;  2.0; ; ;    ;    ;    ;2C 138 ^->
026.088;+51.551;      50; 50; ; ; ;B;   ;01 41 11.0; 7;  ;+51 18.0; 6;);    8.0; ;  1.5; ; ;    ;    ;    ;
026.389;+38.967;      51; 51; ; ; ;A;   ;01 42 36.0; 4;  ;+38 43.0; 6;);    8.0; ;  1.5;); ;    ;    ;    ;
027.604;+55.564;      52; 52; ; ; ;B;   ;01 47 07.0; 7; v;+55 19.0; 5;);    9.5; ;  1.5;); ;    ;    ;    ;
028.306; -4.037;      53; 53; ; ; ;B;   ;01 50 42.0; 5; v;-04 17.0;10;);   10.5; ;  2.0; ; ;    ;    ;    ;2C 155 <-, MSH 01-013?
028.871;+43.628;      54; 54; ; ;*;A;   ;01 52 25.0; 3;  ;+43 23.0; 5; ;   11.5; ;  2.0;); ;    ;    ;    ;2C 162
029.294;+28.810;      55; 55; ; ;*;A;   ;01 54 19.0; 2;  ;+28 34.0; 4; ;    7.5; ;  3.5; ;<; 4.0;    ;    ;2C 165
030.444;+46.274;      56; 56; ; ; ;A; <-;01 58 38.0; 6;  ;+46 02.0; 7; ;   10.0; ;  2.0; ; ;    ;    ;    ;DWD
030.662;-11.543;      57; 57; ; ; ;A;   ;02 00 12.0; 2;  ;-11 47.0;10;);   10.5; ;  2.0;); ;    ;    ;    ;MSH 01-121
031.365;+64.872;      58; 58; ; ; ; ;   ;02 01 41.0; 2;  ;+64 38.0;15; ;   13.0; ;  3.0; ; ;    ;    ;    ;2C 177
031.527;+27.155;      59; 59;); ; ;A;   ;02 03 15.0; 6; ^;+26 55.0; 6;);    8.5; ;  2.5; ; ;    ;    ;    ;2C 181
032.811;+21.302;      60; 60; ; ; ;A;   ;02 08 27.0; 4;  ;+21 04.0; 6;);    9.5; ;  2.5; ; ;    ;    ;    ;2C 186 ^
033.347;+17.533;      61; 61; ; ; ;A;   ;02 10 38.0; 9;  ;+17 18.0; 7;);    8.5; ;  1.5;); ;    ;    ;    ;
033.879;-13.251;      62; 62; ; ; ; ;   ;02 13 06.0;12;  ;-13 29.0;12; ;   13.0; ;  4.0; ;<; 4.0;    ;    ;2C 196? MSH 02-15
035.235; -1.938;      63; 63; ; ; ;A;   ;02 18 24.0; 1;  ;-02 10.0; 5; ;   26.0; ;  5.0; ;<; 4.0;    ;    ;MSH 02-07
035.502; +8.544;      64; 64; ; ; ;B;   ;02 19 21.0; 4; v;+08 19.0; 5; ;   11.5; ;  2.5; ; ;    ;    ;    ;MSH 02+05
035.700;+39.994;      65; 65; ; ; ;B; <-;02 19 42.0; 4;  ;+39 46.0; 3; ;   18.5; ;  3.0; ; ;    ;    ;    ;2C 201 ^?
035.854;+43.077;      66; 66; ; ; ;B;   ;02 20 15.0; 5;  ;+42 51.0; 5;);   28.0; ;  7.0; ; ; 5.0; 2.0;    ;2C 205 v <-?, DWD
036.293;+30.125;      67; 67; ; ; ;A;   ;02 22 14.0; 3;  ;+29 54.0; 9; ;   10.0; ;  2.0; ; ;    ;    ;    ;2C 207?
037.636; -7.112;      68; 68; ; ; ;B; <-;02 28 04.0; 2;  ;-07 20.0;11;);    9.0; ;  1.5;); ;    ;    ;    ;MSH 02-011?
039.517;+59.199;      69; 69; ;+;*;A;   ;02 34 20.0; 3; v;+58 59.0; 3; ;   23.0; ;  2.0; ; ;    ;    ;    ;2C 229 v <-
040.460; -3.037;      70; 70; ; ; ;B;   ;02 39 19.0; 3;  ;-03 15.0;14; ;    8.0; ;  2.0;); ;    ;    ;    ;MSH 02-013?
040.665; -0.204;      71; 71; ; ; ;B;   ;02 40 06.0; 5;  ;-00 25.0; 9;);   11.0; ;  2.5;); ;    ;    ;    ;2C 2-34 v <-, MSH 02-014, DWD
040.911;+26.945;      72; 72;); ; ;A;   ;02 40 43.0; 8;  ;+26 44.0; 5;);   10.0; ;  2.5; ; ;    ;    ;    ;
042.577;+39.490;      73; 73; ; ; ;B; <-;02 47 08.0; 7; v;+39 17.0; 4;);   12.0; ;  2.0;); ;    ;    ;    ;2C 240 ^
043.472;+20.020;      74; 74; ; ; ;A;   ;02 51 03.0; 6;  ;+19 49.0; 7;);    8.5; ;  2.5; ; ;    ;    ;    ;
044.274; +6.284;      75; 75; ; ; ;A;   ;02 54 27.0; 4;  ;+06 05.0; 4; ;   38.0; ; 10.0; ; ; 5.0; 2.0;    ;MSH 02+010? DWD
045.675;+50.929;      76; 76; ; ; ;A;   ;02 59 10.0; 5;  ;+50 44.0; 6;);    8.5; ;  1.5;); ;    ;    ;    ;
046.802;+50.109;      77; 77; ; ; ;A;   ;03 03 41.0; 5;  ;+49 55.0; 6;);    8.0; ;  1.5;); ;    ;    ;    ;
047.143; +4.341;      78; 78; ; ; ;A;   ;03 05 57.0; 4;  ;+04 09.0; 6;);   17.0; ;  5.0; ; ;    ;    ;    ;2C 280, MSH 03+03?
047.507;+17.106;      79; 79; ; ;*;A;   ;03 07 13.0; 3;  ;+16 55.0; 3; ;   34.0; ;  5.0; ; ; 2.0; 2.0;    ;2C 283 v?
047.626; -2.811;      80; 80; ; ; ;A; ->;03 07 59.0; 5;  ;-03 00.0;11;);    8.0; ;  2.0;); ;    ;    ;    ;
048.061;+48.688;      81; 81; ; ; ;B;   ;03 08 45.0; 5;  ;+48 30.0; 5;);    9.5; ;  2.0;); ;    ;    ;    ;2C 285?
048.124;+41.087;      82; 82; ; ; ;A;   ;03 09 13.0; 3;  ;+40 54.0; 4;);   15.0; ;  2.5;); ;    ;    ;    ;
048.356;+26.586;      83; 83;); ; ;B;   ;03 10 27.0;10;  ;+26 24.0;10;);   14.0; ;  3.5; ; ;    ;    ;    ;2C 283 ^?
049.948;+41.464;      84; 84; ; ;*;A;   ;03 16 29.0; 3;  ;+41 17.0; 2; ;   50.0; ;  7.0; ; ;    ;    ;C   ;2C 296, W6, NGC 1275
050.582;+17.428;      85; 85;); ; ;A;   ;03 19 30.0; 5;  ;+17 15.0; 8;);    8.5; ;  1.5;); ;    ;    ;    ;2C 300
051.854;+55.290;      86; 86; ;+;*;A;   ;03 23 36.0; 3;  ;+55 07.0; 6; ;   19.0; ;  4.0; ; ;    ;    ;    ;
051.771;+44.007;      87; 87; ; ; ;A;   ;03 23 41.0; 3;  ;+43 50.0; 5;);    9.5; ;  2.0; ; ;    ;    ;    ;
051.962; +2.289;      88; 88; ; ; ;B;   ;03 25 15.0; 3;  ;+02 07.0; 9;);    9.0; ;  2.0;); ;    ;    ;    ;MSH 03+05, DWD
